   MJD       EECO-REF    NIST-REF NS      DATE    COMMENTS
=========    ========    ======== ==    ========  ========
57961.041       0.000       2.462 k
57961.125       0.000       2.465 k
57961.208       0.000       2.471 k
57961.292       0.000       2.468 k
57961.375       0.000       2.475 k
57961.458       0.000       2.475 k
57961.542       0.000       2.476 k
57961.625       0.000       2.479 k
57961.708       0.000       2.486 k
57961.792       0.000       2.495 k
57961.875       0.000       2.500 k
57961.958       0.000       2.502 k
57962.042       0.000       2.501 k
57962.125       0.000       2.501 k
57962.208       0.000       2.512 k
57962.292       0.000       2.501 k
57962.375       0.000       2.505 k
57962.458       0.000       2.505 k
57962.542       0.000       2.520 k
57962.625       0.000       2.519 k
57962.708       0.000       2.525 k
57962.792       0.000       2.534 k
57962.875       0.000       2.544 k
57962.958       0.000       2.543 k
57963.042       0.000       2.542 k
57963.125       0.000       2.549 k
57963.208       0.000       2.559 k
57963.292       0.000       2.555 k
57963.375       0.000       2.563 k
57963.458       0.000       2.566 k
57963.542       0.000       2.565 k
57963.625       0.000       2.570 k
57963.708       0.000       2.574 k
57963.792       0.000       2.578 k
57963.875       0.000       2.587 k
57963.958       0.000       2.588 k
57964.042       0.000       2.570 k
57964.125       0.000       2.584 k
57964.208       0.000       2.597 k
57964.264       0.000       2.588 k
57964.631       0.000       2.612 k
57964.708       0.000       2.606 k
57964.792       0.000       2.611 k
57964.875       0.000       2.626 k
57964.958       0.000       2.615 k
57965.042       0.000       2.610 k
57965.125       0.000       2.624 k
57965.208       0.000       2.626 k
57965.292       0.000       2.635 k
57965.375       0.000       2.635 k
57965.458       0.000       2.634 k
57965.542       0.000       2.641 k
57965.625       0.000       2.651 k
57965.708       0.000       2.654 k
57965.792       0.000       2.659 k
57965.875       0.000       2.669 k
57965.958       0.000       2.669 k
57966.042       0.000       2.665 k
57966.125       0.000       2.674 k
57966.208       0.000       2.673 k
57966.292       0.000       2.679 k
57966.375       0.000       2.673 k
57966.458       0.000       2.674 k
57966.542       0.000       2.684 k
57966.625       0.000       2.692 k
57966.708       0.000       2.693 k
57966.792       0.000       2.699 k
57966.875       0.000       2.710 k
57966.958       0.000       2.709 k
57967.042       0.000       2.704 k
57967.125       0.000       2.718 k
57967.208       0.000       2.720 k
57967.292       0.000       2.708 k
57967.375       0.000       2.724 k
57967.458       0.000       2.717 k
57967.542       0.000       2.724 k
57967.625       0.000       2.735 k
57967.708       0.000       2.739 k
57967.792       0.000       2.743 k
57967.875       0.000       2.753 k
57967.958       0.000       2.751 k
57968.042       0.000       2.751 k
57968.125       0.000       2.760 k
57968.208       0.000       2.765 k
57968.292       0.000       2.764 k
57968.375       0.000       2.765 k
57968.458       0.000       2.770 k
57968.542       0.000       2.772 k
57968.625       0.000       2.782 k
57968.708       0.000       2.787 k
57968.792       0.000       2.785 k
57968.875       0.000       2.797 k
57968.958       0.000       2.790 k
57969.042       0.000       2.790 k
57969.125       0.000       2.798 k
57969.208       0.000       2.797 k
57969.292       0.000       2.798 k
57969.375       0.000       2.799 k
57969.444       0.000       2.803 k
57972.154       0.000       2.932 k
57972.208       0.000       2.921 k
57972.286       0.000       2.923 k
57976.210       0.000       3.084 k
57976.292       0.000       3.092 k
57976.375       0.000       3.089 k
57976.458       0.000       3.098 k
57976.542       0.000       3.099 k
57976.625       0.000       3.113 k
57976.708       0.000       3.113 k
57976.792       0.000       3.122 k
57976.875       0.000       3.137 k
57976.958       0.000       3.130 k
57977.042       0.000       3.130 k
57977.125       0.000       3.136 k
57977.208       0.000       3.127 k
57977.292       0.000       3.134 k
57977.375       0.000       3.135 k
57977.458       0.000       3.146 k
57977.542       0.000       3.142 k
57977.625       0.000       3.155 k
57977.708       0.000       3.159 k
57977.792       0.000       3.165 k
57977.875       0.000       3.180 k
57977.958       0.000       3.175 k
57978.042       0.000       3.171 k
57978.125       0.000       3.182 k
57978.208       0.000       3.170 k
57978.292       0.000       3.181 k
57978.375       0.000       3.175 k
57978.458       0.000       3.190 k
57978.542       0.000       3.187 k
57978.625       0.000       3.202 k
57978.708       0.000       3.203 k
57978.792       0.000       3.210 k
57978.875       0.000       3.222 k
57978.958       0.000       3.220 k
57979.042       0.000       3.212 k
57979.125       0.000       3.223 k
57979.208       0.000       3.214 k
57979.292       0.000       3.222 k
57979.375       0.000       3.215 k
57979.458       0.000       3.215 k
57979.542       0.000       3.223 k
57979.625       0.000       3.247 k
57979.708       0.000       3.243 k
57979.792       0.000       3.248 k
57979.875       0.000       3.263 k
57979.958       0.000       3.255 k
57980.042       0.000       3.255 k
57980.125       0.000       3.262 k
57980.208       0.000       3.256 k
57980.292       0.000       3.269 k
57980.375       0.000       3.264 k
57980.458       0.000       3.261 k
57980.542       0.000       3.261 k
57980.625       0.000       3.286 k
57980.708       0.000       3.283 k
57980.792       0.000       3.293 k
57980.875       0.000       3.305 k
57980.958       0.000       3.308 k
57981.042       0.000       3.299 k
57981.125       0.000       3.307 k
57981.208       0.000       3.298 k
57981.292       0.000       3.311 k
57981.375       0.000       3.312 k
57981.458       0.000       3.316 k
57981.542       0.000       3.313 k
57981.630       0.000       3.332 k
57981.708       0.000       3.327 k
57981.792       0.000       3.336 k
57981.875       0.000       3.347 k
57981.958       0.000       3.338 k
57982.042       0.000       3.338 k
57982.125       0.000       3.350 k
57982.208       0.000       3.342 k
57982.292       0.000       3.354 k
57982.375       0.000       3.349 k
57982.458       0.000       3.352 k
57982.542       0.000       3.344 k
57982.625       0.000       3.367 k
57982.708       0.000       3.364 k
57982.792       0.000       3.379 k
57982.875       0.000       3.392 k
